"Deal Name","Pipeline","Deal Stage","Amount","Close Date","Deal Description"
"3961 Live Oak St, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","170000","","https://www.zillow.com/homedetails/3961-Live-Oak-St-Columbia-SC-29205/11698835_zpid/ | For Sale"
"1824 Fairhaven Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","165000","","https://www.zillow.com/homedetails/1824-Fairhaven-Dr-Columbia-SC-29210/11670035_zpid/ | For Sale"
"117 Lambeth Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","198000","","https://www.zillow.com/homedetails/117-Lambeth-Dr-Columbia-SC-29209/11735373_zpid/ | For Sale"
"329 Shagbark Ave, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","69900","","https://www.zillow.com/homedetails/329-Shagbark-Ave-Columbia-SC-29209/11735705_zpid/ | For Sale"
"616 Amberley Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","179900","","https://www.zillow.com/homedetails/616-Amberley-Rd-Columbia-SC-29203/11680383_zpid/ | For Sale"
"376 Eastfair Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","254000","","https://www.zillow.com/homedetails/376-Eastfair-Dr-Columbia-SC-29209/121819293_zpid/ | For Sale"
"2711 N Beltline Blvd, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","299900","","https://www.zillow.com/homedetails/2711-N-Beltline-Blvd-Columbia-SC-29204/11705812_zpid/ | For Sale"
"699 Gladiolus Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","245772","","https://www.zillow.com/homedetails/699-Gladiolus-Dr-Columbia-SC-29229/121965986_zpid/ | For Sale | Agent: Transit Realty Florence"
"226 Curvewood Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","200000","","https://www.zillow.com/homedetails/226-Curvewood-Rd-Columbia-SC-29229/67615913_zpid/ | For Sale"
"613 Heron Glen Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","234900","","https://www.zillow.com/homedetails/613-Heron-Glen-Dr-Columbia-SC-29229/81036526_zpid/ | For Sale"
"1430 Dahlia Rd, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","249999","","https://www.zillow.com/homedetails/1430-Dahlia-Rd-Columbia-SC-29205/11698693_zpid/ | For Sale"
"525 Pittsdowne Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","279900","","https://www.zillow.com/homedetails/525-Pittsdowne-Rd-Columbia-SC-29210/11195337_zpid/ | For Sale"
"501 S Edisto Ave, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","225000","","https://www.zillow.com/homedetails/501-S-Edisto-Ave-Columbia-SC-29205/11682361_zpid/ | For Sale"
"6506 Christie Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","289000","","https://www.zillow.com/homedetails/6506-Christie-Rd-Columbia-SC-29209/11714398_zpid/ | For Sale"
"4137 Shorecrest Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","109900","","https://www.zillow.com/homedetails/4137-Shorecrest-Dr-Columbia-SC-29209/11697075_zpid/ | For Sale"
"145 Angel Garden Way, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","211250","","https://www.zillow.com/homedetails/145-Angel-Garden-Way-Columbia-SC-29223/92396117_zpid/ | For Sale"
"562 Buckhaven Way, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","235000","","https://www.zillow.com/homedetails/562-Buckhaven-Way-Columbia-SC-29229/121972270_zpid/ | For Sale"
"126 Baysdale Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","250000","","https://www.zillow.com/homedetails/126-Baysdale-Dr-Columbia-SC-29229/110227097_zpid/ | Townhouse"
"2113 Kathleen Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/2113-Kathleen-Dr-Columbia-SC-29210/11674422_zpid/ | For Sale"
"305 Curvewood Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","174900","","https://www.zillow.com/homedetails/305-Curvewood-Rd-Columbia-SC-29229/67615229_zpid/ | For Sale"
"4223 Woodridge Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","192000","","https://www.zillow.com/homedetails/4223-Woodridge-Dr-Columbia-SC-29203/67611754_zpid/ | For Sale"
"3621 Thurmond St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","137000","","https://www.zillow.com/homedetails/3621-Thurmond-St-Columbia-SC-29204/11692623_zpid/ | FSBO"
"169 Fox Grove Cir, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","238000","","https://www.zillow.com/homedetails/169-Fox-Grove-Cir-Columbia-SC-29229/67616407_zpid/ | For Sale"
"137 Green Tree Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","144900","","https://www.zillow.com/homedetails/137-Green-Tree-Dr-Columbia-SC-29203/11695625_zpid/ | For Sale"
"106 Rolling Knoll Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","198000","","https://www.zillow.com/homedetails/106-Rolling-Knoll-Dr-Columbia-SC-29229/11733049_zpid/ | For Sale"
"400 Summit Townes Way, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","175000","","https://www.zillow.com/homedetails/400-Summit-Townes-Way-Columbia-SC-29229/67612225_zpid/ | For Sale"
"245 Piney Grove Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","239000","","https://www.zillow.com/homedetails/245-Piney-Grove-Rd-Columbia-SC-29210/2135854636_zpid/ | For Sale"
"1925 Shadowood Dr, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","227500","","https://www.zillow.com/homedetails/1925-Shadowood-Dr-Columbia-SC-29212/11192597_zpid/ | For Sale"
"108 Malisa Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","195000","","https://www.zillow.com/homedetails/108-Malisa-Dr-Columbia-SC-29229/55195677_zpid/ | For Sale"
"103 Whitfield Ct, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","239500","","https://www.zillow.com/homedetails/103-Whitfield-Ct-Columbia-SC-29229/11731411_zpid/ | For Sale"
"4724 Leaf Crest Ct, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","59900","","https://www.zillow.com/homedetails/4724-Leaf-Crest-Ct-Columbia-SC-29210/11671907_zpid/ | Townhouse"
"3725 Harrogate Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","199900","","https://www.zillow.com/homedetails/3725-Harrogate-Rd-Columbia-SC-29210/11201488_zpid/ | For Sale"
"3915 Pearl St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","174900","","https://www.zillow.com/homedetails/3915-Pearl-St-Columbia-SC-29203/11676265_zpid/ | For Sale"
"3114 Park St, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","224000","","https://www.zillow.com/homedetails/3114-Park-St-Columbia-SC-29201/11676556_zpid/ | For Sale"
"212 Lake Carolina Blvd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","137500","","https://www.zillow.com/homedetails/212-Lake-Carolina-Blvd-Columbia-SC-29229/121959339_zpid/ | Land"
"7602 Hunt Club Rd APT A104, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","137500","","https://www.zillow.com/homedetails/7602-Hunt-Club-Rd-APT-A104-Columbia-SC-29223/462054960_zpid/ | Townhouse"
"8 Hampton Oaks Pl, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","179900","","https://www.zillow.com/homedetails/8-Hampton-Oaks-Pl-Columbia-SC-29212/55192880_zpid/ | For Sale"
"2324 Alpine Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/2324-Alpine-Rd-Columbia-SC-29223/2103445983_zpid/ | Land"
"104 Harbor Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","95000","","https://www.zillow.com/homedetails/104-Harbor-Dr-Columbia-SC-29229/121968973_zpid/ | Land"
"338 Old Wood Dr, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","40000","","https://www.zillow.com/homedetails/338-Old-Wood-Dr-Columbia-SC-29212/111156869_zpid/ | Land"
"Leadmine Rd, Gaffney, SC 29340","Sales Pipeline","Appointment Scheduled","299000","","https://www.zillow.com/homedetails/Leadmine-Rd-Gaffney-SC-29340/459820374_zpid/ | Land | Agent: John Wall & Associates"
"1522 Jerome Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","80000","","https://www.zillow.com/homedetails/1522-Jerome-Dr-Columbia-SC-29203/11694500_zpid/ | For Sale"
"1331 Boston St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","22500","","https://www.zillow.com/homedetails/1331-Boston-St-Columbia-SC-29203/11680624_zpid/ | Land"
"E/s Tremont Ave #13, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","20000","","https://www.zillow.com/homedetails/E-s-Tremont-Ave-13-Columbia-SC-29203/461591785_zpid/ | Land"
"W/s Zacks Playhouse Rd, Hollywood, SC 29449","Sales Pipeline","Appointment Scheduled","100000","","https://www.zillow.com/homedetails/W-s-Zacks-Playhouse-Rd-Hollywood-SC-29449/461182462_zpid/ | Land"
"729 Wild Duck Ln, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","206500","","https://www.zillow.com/homedetails/729-Wild-Duck-Ln-Columbia-SC-29210/344784731_zpid/ | Townhouse"
"431 Pineneedle Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","90000","","https://www.zillow.com/homedetails/431-Pineneedle-Rd-Columbia-SC-29203/11678269_zpid/ | For Sale"
"132 Fairlawn Ct, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","205000","","https://www.zillow.com/homedetails/132-Fairlawn-Ct-Columbia-SC-29203/11713117_zpid/ | For Sale"
"1515 Hatcher Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","35000","","https://www.zillow.com/homedetails/1515-Hatcher-Dr-Columbia-SC-29203/11694494_zpid/ | For Sale"
"116 Clay Ridge Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","269000","","https://www.zillow.com/homedetails/116-Clay-Ridge-Rd-Columbia-SC-29223/71257693_zpid/ | For Sale"
"200 Stirlington Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","180000","","https://www.zillow.com/homedetails/200-Stirlington-Rd-Columbia-SC-29212/11195518_zpid/ | For Sale"
"2912 Chestnut St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","179000","","https://www.zillow.com/homedetails/2912-Chestnut-St-Columbia-SC-29204/11689279_zpid/ | For Sale"
"137 Canterfield Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","260000","","https://www.zillow.com/homedetails/137-Canterfield-Rd-Columbia-SC-29212/11191994_zpid/ | For Sale"
"134 Hester Woods Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","199900","","https://www.zillow.com/homedetails/134-Hester-Woods-Dr-Columbia-SC-29223/88012160_zpid/ | For Sale"
"1531 Hatcher Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","35000","","https://www.zillow.com/homedetails/1531-Hatcher-Dr-Columbia-SC-29203/11694513_zpid/ | For Sale"
"3944 Hickory St, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","280000","","https://www.zillow.com/homedetails/3944-Hickory-St-Columbia-SC-29205/11698869_zpid/ | For Sale"
"1158 Cloister Pl, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","169900","","https://www.zillow.com/homedetails/1158-Cloister-Pl-Columbia-SC-29210/11670737_zpid/ | Townhouse"
"2 Woodshaw Ct, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","229900","","https://www.zillow.com/homedetails/2-Woodshaw-Ct-Columbia-SC-29212/11187985_zpid/ | For Sale"
"232 Fernview Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","259000","","https://www.zillow.com/homedetails/232-Fernview-Dr-Columbia-SC-29229/11741234_zpid/ | For Sale"
"409 Wilkes Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/409-Wilkes-Rd-Columbia-SC-29203/11710435_zpid/ | For Sale"
"129 Pond Oak Ln, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","275000","","https://www.zillow.com/homedetails/129-Pond-Oak-Ln-Columbia-SC-29212/11669464_zpid/ | For Sale"
"3000 Richfield Dr, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","160000","","https://www.zillow.com/homedetails/3000-Richfield-Dr-Columbia-SC-29201/11676419_zpid/ | For Sale"
"58 Crossvine Ct, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","235000","","https://www.zillow.com/homedetails/58-Crossvine-Ct-Columbia-SC-29229/88003016_zpid/ | For Sale"
"135 Fox Squirrel Cir, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","265000","","https://www.zillow.com/homedetails/135-Fox-Squirrel-Cir-Columbia-SC-29209/121964038_zpid/ | For Sale"
"112 Chippenham Cir, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","280000","","https://www.zillow.com/homedetails/112-Chippenham-Cir-Columbia-SC-29210/11196626_zpid/ | For Sale"
"5802 McMillan Cir, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","229900","","https://www.zillow.com/homedetails/5802-McMillan-Cir-Columbia-SC-29212/11191386_zpid/ | For Sale"
"266 Chippewa Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","269000","","https://www.zillow.com/homedetails/266-Chippewa-Dr-Columbia-SC-29210/11670160_zpid/ | For Sale"
"178 Vermillion Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","279900","","https://www.zillow.com/homedetails/178-Vermillion-Dr-Columbia-SC-29209/92393922_zpid/ | For Sale"
"1517 N Woodstream Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","179900","","https://www.zillow.com/homedetails/1517-N-Woodstream-Rd-Columbia-SC-29212/11191685_zpid/ | For Sale"
"516 Lakeside Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","190000","","https://www.zillow.com/homedetails/516-Lakeside-Ave-Columbia-SC-29203/11679073_zpid/ | For Sale"
"7504 Teague Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","175000","","https://www.zillow.com/homedetails/7504-Teague-Rd-Columbia-SC-29209/11726443_zpid/ | For Sale"
"7818 Exeter Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","299900","","https://www.zillow.com/homedetails/7818-Exeter-Ln-Columbia-SC-29223/11720655_zpid/ | For Sale"
"2039 Cheltenham Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","209900","","https://www.zillow.com/homedetails/2039-Cheltenham-Ln-Columbia-SC-29223/11727454_zpid/ | For Sale"
"420 Forest Grove Cir, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","245000","","https://www.zillow.com/homedetails/420-Forest-Grove-Cir-Columbia-SC-29210/11196712_zpid/ | For Sale"
"45 Round Table Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","275000","","https://www.zillow.com/homedetails/45-Round-Table-Ct-Columbia-SC-29209/121957928_zpid/ | For Sale"
"436 Guard Tower Ln, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","219900","","https://www.zillow.com/homedetails/436-Guard-Tower-Ln-Columbia-SC-29209/110214130_zpid/ | For Sale"
"228 Rolling Rock Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","250000","","https://www.zillow.com/homedetails/228-Rolling-Rock-Rd-Columbia-SC-29212/50896985_zpid/ | For Sale"
"1111 Cloister Pl, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","164900","","https://www.zillow.com/homedetails/1111-Cloister-Pl-Columbia-SC-29210/11670717_zpid/ | Townhouse"
"2518 Putnam St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","179500","","https://www.zillow.com/homedetails/2518-Putnam-St-Columbia-SC-29204/11689936_zpid/ | For Sale"
"217 Stockmoor Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","272900","","https://www.zillow.com/homedetails/217-Stockmoor-Rd-Columbia-SC-29212/11187977_zpid/ | For Sale"
"38 Cardington Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","255000","","https://www.zillow.com/homedetails/38-Cardington-Ct-Columbia-SC-29209/11726171_zpid/ | For Sale"
"400 Green Tree Cir, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","99000","","https://www.zillow.com/homedetails/400-Green-Tree-Cir-Columbia-SC-29203/11695603_zpid/ | For Sale"
"4521 Corbett St, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","149000","","https://www.zillow.com/homedetails/4521-Corbett-St-Columbia-SC-29209/11696845_zpid/ | For Sale"
"3929 Trotter Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","150000","","https://www.zillow.com/homedetails/3929-Trotter-Rd-Columbia-SC-29209/11735278_zpid/ | For Sale"
"255 Sorrel Tree Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","270000","","https://www.zillow.com/homedetails/255-Sorrel-Tree-Dr-Columbia-SC-29223/121963602_zpid/ | For Sale"
"1910 Greenoaks Rd APT A, Columbia, SC 29206","Sales Pipeline","Appointment Scheduled","175000","","https://www.zillow.com/homedetails/1910-Greenoaks-Rd-APT-A-Columbia-SC-29206/2054609943_zpid/ | Townhouse"
"959 Yarrow Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","284900","","https://www.zillow.com/homedetails/959-Yarrow-Ln-Columbia-SC-29223/121953968_zpid/ | For Sale"
"835 Denny Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","104900","","https://www.zillow.com/homedetails/835-Denny-Rd-Columbia-SC-29203/11674781_zpid/ | For Sale"
"74 Newport Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","182300","","https://www.zillow.com/homedetails/74-Newport-Dr-Columbia-SC-29223/11728002_zpid/ | For Sale"
"3700 Ulmer Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","289000","","https://www.zillow.com/homedetails/3700-Ulmer-Rd-Columbia-SC-29209/67597857_zpid/ | For Sale"
"120 Curvewood Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","190000","","https://www.zillow.com/homedetails/120-Curvewood-Rd-Columbia-SC-29229/67615255_zpid/ | For Sale"
"4615 Bluff Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","135000","","https://www.zillow.com/homedetails/4615-Bluff-Rd-Columbia-SC-29209/11696716_zpid/ | For Sale"
"276 Oberlin Rd, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","215000","","https://www.zillow.com/homedetails/276-Oberlin-Rd-Columbia-SC-29212/11195560_zpid/ | For Sale"
"54 Monmouth Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","168500","","https://www.zillow.com/homedetails/54-Monmouth-Ct-Columbia-SC-29209/88002336_zpid/ | For Sale"
"140 Twin Oaks Ln, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","240000","","https://www.zillow.com/homedetails/140-Twin-Oaks-Ln-Columbia-SC-29209/11734932_zpid/ | For Sale"
"314 Leton Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","240000","","https://www.zillow.com/homedetails/314-Leton-Dr-Columbia-SC-29210/11194576_zpid/ | For Sale"
"23 Braiden Manor Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","224000","","https://www.zillow.com/homedetails/23-Braiden-Manor-Rd-Columbia-SC-29209/88003960_zpid/ | Townhouse"
"1075 Belmont Green Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","255500","","https://www.zillow.com/homedetails/1075-Belmont-Green-Rd-Columbia-SC-29209/2061992113_zpid/ | For Sale"
"1960 Drexel Lake Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","260000","","https://www.zillow.com/homedetails/1960-Drexel-Lake-Dr-Columbia-SC-29223/11727621_zpid/ | For Sale"
"130 Thorn Tree Ln, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","182000","","https://www.zillow.com/homedetails/130-Thorn-Tree-Ln-Columbia-SC-29212/61363201_zpid/ | For Sale"
"134 Palmetto Park Cir, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","237500","","https://www.zillow.com/homedetails/134-Palmetto-Park-Cir-Columbia-SC-29229/81048440_zpid/ | For Sale"
