"Tier","Status","Address","City","ZIP","Beds","Baths","Agent","Phone","Brokerage","Action","ZillowURL"
"1-FSBO (best)","For sale by owner","1823 Nebraska St, Baton Rouge, LA 70802","Baton Rouge","70802","2","1","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/1823-Nebraska-St-Baton-Rouge-LA-70802/188695463_zpid/"
"1-FSBO (best)","For sale by owner","34940 J W Hall Rd, Walker, LA 70785","Walker","70785","3","2","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/34940-J-W-Hall-Rd-Walker-LA-70785/110881318_zpid/"
"1-FSBO (best)","For sale by owner","34332 Quarter Horse Ln Lot 25, Walker, LA 70785","Walker","70785","1","1","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/34332-Quarter-Horse-Ln-LOT-25-Walker-LA-70785/2078293730_zpid/"
"1-FSBO (best)","For sale by owner","2737 Sherwood St, Baton Rouge, LA 70805","Baton Rouge","70805","3","1","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/2737-Sherwood-St-Baton-Rouge-LA-70805/66261221_zpid/"
"1-FSBO (best)","For sale by owner","2737 Dayton St, Baton Rouge, LA 70805","Baton Rouge","70805","2","1","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/2737-Dayton-St-Baton-Rouge-LA-70805/66262165_zpid/"
"2-Agent-listed (call now)","Foreclosure","11376 Rossow Ct, Denham Springs, LA 70726","Denham Springs","70726","3","2","Chris Thomas","225-448-2850","Smart Move Real Estate","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/11376-Rossow-Ct-Denham-Springs-LA-70726/110923585_zpid/"
"2-Agent-listed (call now)","Foreclosure","6397 Union Dr, Addis, LA 70710","Addis","70710","4","3","Jeff Furniss","225-925-2500","Coldwell Banker ONE","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/6397-Union-Dr-Addis-LA-70710/248099785_zpid/"
"2-Agent-listed (call now)","Foreclosure","2758 Badley Rd, Baton Rouge, LA 70807","Baton Rouge","70807","3","2","Denisse Delgado-Hernandez","985-507-0544","Casa Real Estate, LLC","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/2758-Badley-Rd-Baton-Rouge-LA-70807/66332799_zpid/"
"2-Agent-listed (call now)","Foreclosure","8356 Rainbow Dr, Baton Rouge, LA 70809","Baton Rouge","70809","3","2","Julie Reynolds","504-300-0700","Reve REALTORS","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/8356-Rainbow-Dr-Baton-Rouge-LA-70809/66346727_zpid/"
"2-Agent-listed (call now)","Foreclosure","220 Lasalle St, Denham Springs, LA 70726","Denham Springs","70726","2","2","Nikki Pitre","225-677-4868","Pivot Realty","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/220-Lasalle-St-Denham-Springs-LA-70726/110920579_zpid/"
"2-Agent-listed (call now)","Foreclosure","9056 Hooper Rd, Baton Rouge, LA 70818","Baton Rouge","70818","3","2","Robert White","504-897-2445","Rob White Realty, LLC","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/9056-Hooper-Rd-Baton-Rouge-LA-70818/66380671_zpid/"
"2-Agent-listed (call now)","Coming soon","823 N 46th St, Baton Rouge, LA 70802","Baton Rouge","70802","4","3","Venice Nesom","225-766-8802","Lewis Companies","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/823-N-46th-St-Baton-Rouge-LA-70802/66252124_zpid/"
"2-Agent-listed (call now)","Coming soon","15013 Point Chenier Ave, Baton Rouge, LA 70817","Baton Rouge","70817","3","2","","225-478-5770","CENTURY 21 Bessette Flavin","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/15013-Point-Chenier-Ave-Baton-Rouge-LA-70817/66378730_zpid/"
"2-Agent-listed (call now)","Foreclosure","1453 N 47th St, Baton Rouge, LA 70802","Baton Rouge","70802","3","1","Ted Major","225-357-2300","Major Agency","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/1453-N-47th-St-Baton-Rouge-LA-70802/453368012_zpid/"
"2-Agent-listed (call now)","Foreclosure","830 Sedona Pines Dr, Baton Rouge, LA 70816","Baton Rouge","70816","3","2","Jeff Furniss","225-925-2500","Coldwell Banker ONE","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/830-Sedona-Pines-Dr-Baton-Rouge-LA-70816/119317239_zpid/"
"2-Agent-listed (call now)","Foreclosure","58415 Long St, Plaquemine, LA 70764","Plaquemine","70764","3","2","Deborah Janicek","225-295-3035","Adam Campo Real Estate, LLC","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/58415-Long-St-Plaquemine-LA-70764/115137703_zpid/"
"2-Agent-listed (call now)","Foreclosure","24675 Pecan Place Dr, Plaquemine, LA 70764","Plaquemine","70764","4","2","Derrick Acosta; Tim McCubbin","225-766-1921","Century 21 Action Realty","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/24675-Pecan-Place-Dr-Plaquemine-LA-70764/115136539_zpid/"
"2-Agent-listed (call now)","Coming soon","22825 Lafourche Ln, Denham Springs, LA 70726","Denham Springs","70726","3","2","Susan Nesom","225-939-5961","Mandy Benton Realty Group LLC","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/22825-Lafourche-Ln-Denham-Springs-LA-70726/114003579_zpid/"
"2-Agent-listed (call now)","Foreclosure","2361 70th Ave, Baton Rouge, LA 70807","Baton Rouge","70807","2","1","Dana Rowell","770-933-6678","REALHome Services and Solutions, Inc.","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/2361-70th-Ave-Baton-Rouge-LA-70807/66243774_zpid/"
"2-Agent-listed (call now)","Foreclosure","43491 John Ealy Rd, Prairieville, LA 70769","Prairieville","70769","3","1","Donna Harris","225-665-0228","Shirley Kirby & Associates","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/43491-John-Ealy-Rd-Prairieville-LA-70769/1452822_zpid/"
"2-Agent-listed (call now)","Foreclosure","536 Fall River Dr, Baton Rouge, LA 70815","Baton Rouge","70815","3","3","Billy Way","225-335-1155","KPG Realty, LLC","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/536-Fall-River-Dr-Baton-Rouge-LA-70815/103862532_zpid/"
"2-Agent-listed (call now)","Foreclosure","3541 Wayne Dr, Baton Rouge, LA 70805","Baton Rouge","70805","3","1","Nikki Pitre","225-677-4868","Pivot Realty","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/3541-Wayne-Dr-Baton-Rouge-LA-70805/66253066_zpid/"
"2-Agent-listed (call now)","Foreclosure","1735 N Sherwood Forest Blvd, Baton Rouge, LA 70815","Baton Rouge","70815","2","2","","225-357-2300","Major Agency","Call broker: offers before auction/REO deadline?","https://www.zillow.com/homedetails/1735-N-Sherwood-Forest-Blvd-Baton-Rouge-LA-70815/463276720_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","2245 Vickers Dr, Baton Rouge, LA 70815","Baton Rouge","70815","3","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/2245-Vickers-Dr-Baton-Rouge-LA-70815/66304906_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1267 Cristy Dr, Baton Rouge, LA 70815","Baton Rouge","70815","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1267-Cristy-Dr-Baton-Rouge-LA-70815/66316276_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","2169 San Clemente Dr, Baton Rouge, LA 70815","Baton Rouge","70815","3","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/2169-San-Clemente-Dr-Baton-Rouge-LA-70815/66316291_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","12209 Strauss St, Baton Rouge, LA 70811","Baton Rouge","70811","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/12209-Strauss-St-Baton-Rouge-LA-70811/66327453_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","4625 Parkoaks Dr APT 33, Baton Rouge, LA 70816","Baton Rouge","70816","2","3","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/4625-Parkoaks-Dr-APT-33-Baton-Rouge-LA-70816/66328207_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","4153 Shaffett Ln, Zachary, LA 70791","Zachary","70791","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/4153-Shaffett-Ln-Zachary-LA-70791/66339417_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","11434 Flamingo Dr, Baton Rouge, LA 70814","Baton Rouge","70814","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/11434-Flamingo-Dr-Baton-Rouge-LA-70814/66350894_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","23456 Pony Dr, Zachary, LA 70791","Zachary","70791","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/23456-Pony-Dr-Zachary-LA-70791/66793944_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","6374 Cyrus Ave, Baton Rouge, LA 70805","Baton Rouge","70805","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/6374-Cyrus-Ave-Baton-Rouge-LA-70805/81890645_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","26389 Bobby Gill Rd, Denham Springs, LA 70726","Denham Springs","70726","4","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/26389-Bobby-Gill-Rd-Denham-Springs-LA-70726/119750742_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","5246 Bryant Dr, Baton Rouge, LA 70812","Baton Rouge","70812","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/5246-Bryant-Dr-Baton-Rouge-LA-70812/188733404_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","611 N Foster Dr, Baton Rouge, LA 70806","Baton Rouge","70806","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/611-N-Foster-Dr-Baton-Rouge-LA-70806/188786819_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","4338 Harding Blvd, Baton Rouge, LA 70807","Baton Rouge","70807","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/4338-Harding-Blvd-Baton-Rouge-LA-70807/251066981_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","4662 Gus Young Ave, Baton Rouge, LA 70802","Baton Rouge","70802","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/4662-Gus-Young-Ave-Baton-Rouge-LA-70802/333206755_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1466 Cordoba Dr, Zachary, LA 70791","Zachary","70791","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1466-Cordoba-Dr-Zachary-LA-70791/333207067_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1659 Florida St, Baton Rouge, LA 70802","Baton Rouge","70802","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1659-Florida-St-Baton-Rouge-LA-70802/338761953_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","8065 Lockhart Rd, Denham Springs, LA 70726","Denham Springs","70726","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/8065-Lockhart-Rd-Denham-Springs-LA-70726/448190739_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","13065 Fox St, Maurepas, LA 70449","Maurepas","70449","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/13065-Fox-St-Maurepas-LA-70449/110895213_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","3723 Soledad Dr, Baton Rouge, LA 70816","Baton Rouge","70816","3","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/3723-Soledad-Dr-Baton-Rouge-LA-70816/66287693_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","3486 Ozark St, Baton Rouge, LA 70805","Baton Rouge","70805","3","1","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/3486-Ozark-St-Baton-Rouge-LA-70805/66260192_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1722 Kennon Dr, Baker, LA 70714","Baker","70714","3","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1722-Kennon-Dr-Baker-LA-70714/66333265_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","36062 Raleigh Dr, Denham Springs, LA 70706","Denham Springs","70706","4","3","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/36062-Raleigh-Dr-Denham-Springs-LA-70706/110894586_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","11951 Baylor Dr, Baton Rouge, LA 70816","Baton Rouge","70816","","0","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/11951-Baylor-Dr-Baton-Rouge-LA-70816/188718442_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","6268 Pontotoc St, Baton Rouge, LA 70812","Baton Rouge","70812","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/6268-Pontotoc-St-Baton-Rouge-LA-70812/66326834_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","5355 Beechwood Dr, Baton Rouge, LA 70805","Baton Rouge","70805","4","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/5355-Beechwood-Dr-Baton-Rouge-LA-70805/66260977_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1806 Plank Rd, Baton Rouge, LA 70802","Baton Rouge","70802","2","1","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1806-Plank-Rd-Baton-Rouge-LA-70802/247543295_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","13412 Magnolia Square Dr, Baton Rouge, LA 70818","Baton Rouge","70818","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/13412-Magnolia-Square-Dr-Baton-Rouge-LA-70818/251954656_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","760 E Johnson St, Baton Rouge, LA 70802","Baton Rouge","70802","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/760-E-Johnson-St-Baton-Rouge-LA-70802/66283388_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","3230 Sycamore St, Baton Rouge, LA 70805","Baton Rouge","70805","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/3230-Sycamore-St-Baton-Rouge-LA-70805/66261663_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","831 Fontainebleau Dr, Baton Rouge, LA 70819","Baton Rouge","70819","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/831-Fontainebleau-Dr-Baton-Rouge-LA-70819/66357197_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","4212 Hollywood St, Baton Rouge, LA 70805","Baton Rouge","70805","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/4212-Hollywood-St-Baton-Rouge-LA-70805/66250135_zpid/"
"3-Pre-foreclosure/REO","Foreclosure","7750 Joe Lynn Trails, Denham Springs, LA 70726","Denham Springs","70726","4","2","","","Donald Julien & Associates BR","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/7750-Joe-Lynn-Trails-Denham-Springs-LA-70726/340044360_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1205 Boreas Dr, Baton Rouge, LA 70816","Baton Rouge","70816","5","3","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1205-Boreas-Dr-Baton-Rouge-LA-70816/66361586_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","5785 Crestway Ave, Baton Rouge, LA 70812","Baton Rouge","70812","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/5785-Crestway-Ave-Baton-Rouge-LA-70812/66243370_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","9108 Redwood Lake Blvd, Zachary, LA 70791","Zachary","70791","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/9108-Redwood-Lake-Blvd-Zachary-LA-70791/123271212_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","17582 Sugar Mill Ave, Baton Rouge, LA 70817","Baton Rouge","70817","3","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/17582-Sugar-Mill-Ave-Baton-Rouge-LA-70817/66270964_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","13235 Country Park Ave, Baton Rouge, LA 70816","Baton Rouge","70816","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/13235-Country-Park-Ave-Baton-Rouge-LA-70816/66375421_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","3076 Elgin St, Baton Rouge, LA 70805","Baton Rouge","70805","3","1.1","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/3076-Elgin-St-Baton-Rouge-LA-70805/66251481_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","11445 Buckingham Ave, Denham Springs, LA 70726","Denham Springs","70726","3","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/11445-Buckingham-Ave-Denham-Springs-LA-70726/110894287_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","15324 Schafer Ave, Baton Rouge, LA 70816","Baton Rouge","70816","3","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/15324-Schafer-Ave-Baton-Rouge-LA-70816/66360420_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","2015 North Blvd, Baton Rouge, LA 70806","Baton Rouge","70806","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/2015-North-Blvd-Baton-Rouge-LA-70806/66226408_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","5257 Brightside View Dr, Baton Rouge, LA 70820","Baton Rouge","70820","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/5257-Brightside-View-Dr-Baton-Rouge-LA-70820/66230720_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","3115 Adams Ave, Baton Rouge, LA 70802","Baton Rouge","70802","3","2","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/3115-Adams-Ave-Baton-Rouge-LA-70802/66231111_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1763 Boulevard De Province, Baton Rouge, LA 70816","Baton Rouge","70816","2","3","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1763-Boulevard-De-Province-Baton-Rouge-LA-70816/66250342_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1763 Boulevard De Province, Baton Rouge, LA 70816","Baton Rouge","70816","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1763-Boulevard-De-Province-Baton-Rouge-LA-70816/66250345_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","3913 Topeka St, Baton Rouge, LA 70805","Baton Rouge","70805","2","1","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/3913-Topeka-St-Baton-Rouge-LA-70805/66254717_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","4845 Wells St, Baton Rouge, LA 70808","Baton Rouge","70808","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/4845-Wells-St-Baton-Rouge-LA-70808/66284288_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","1323 Cristy Dr, Baton Rouge, LA 70815","Baton Rouge","70815","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/1323-Cristy-Dr-Baton-Rouge-LA-70815/66303557_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","11930 Forest Oaks Ct, Baton Rouge, LA 70815","Baton Rouge","70815","","","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/11930-Forest-Oaks-Ct-Baton-Rouge-LA-70815/66307131_zpid/"
"3-Pre-foreclosure/REO","Foreclosed","10435 Cedarlane Dr, Baton Rouge, LA 70816","Baton Rouge","70816","3","2.5","","","","Skip-trace owner (pre-FC) OR county/lender (REO).","https://www.zillow.com/homedetails/10435-Cedarlane-Dr-Baton-Rouge-LA-70816/66308776_zpid/"
"4-Auction (separate)","Auction","21302 Diversion Canal Rd, Maurepas, LA 70449","Maurepas","70449","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/21302-Diversion-Canal-Rd-Maurepas-LA-70449/450660583_zpid/"
"4-Auction (separate)","Auction","1521 Bullrush Dr, Baton Rouge, LA 70810","Baton Rouge","70810","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/1521-Bullrush-Dr-Baton-Rouge-LA-70810/66374870_zpid/"
"4-Auction (separate)","Auction","25663 Buffwood St, Denham Springs, LA 70726","Denham Springs","70726","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/25663-Buffwood-St-Denham-Springs-LA-70726/210292627_zpid/"
"4-Auction (separate)","Auction","16723 Webster Dr, Baton Rouge, LA 70819","Baton Rouge","70819","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/16723-Webster-Dr-Baton-Rouge-LA-70819/66355478_zpid/"
"4-Auction (separate)","Auction","8739 Lockhart Rd, Denham Springs, LA 70726","Denham Springs","70726","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/8739-Lockhart-Rd-Denham-Springs-LA-70726/249350778_zpid/"
"4-Auction (separate)","Auction","34910 Eagle Ridge Dr, Denham Springs, LA 70706","Denham Springs","70706","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/34910-Eagle-Ridge-Dr-Denham-Springs-LA-70706/110894563_zpid/"
"4-Auction (separate)","Auction","10582 Dodger Dr, Denham Springs, LA 70726","Denham Springs","70726","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/10582-Dodger-Dr-Denham-Springs-LA-70726/249354065_zpid/"
"4-Auction (separate)","Auction","28299 Natchez Trce, Denham Springs, LA 70726","Denham Springs","70726","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/28299-Natchez-Trce-Denham-Springs-LA-70726/337480871_zpid/"
"4-Auction (separate)","Auction","2690 Creek Hollow Ave, Zachary, LA 70791","Zachary","70791","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/2690-Creek-Hollow-Ave-Zachary-LA-70791/70846314_zpid/"
"4-Auction (separate)","Auction","798 Highway 67, Ethel, LA 70777","Ethel","70777","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/798-Highway-67-Ethel-LA-70777/106043740_zpid/"
"4-Auction (separate)","Auction","14303 Salt Dome Rd, Walker, LA 70785","Walker","70785","","","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/14303-Salt-Dome-Rd-Walker-LA-70785/249355876_zpid/"
"4-Auction (separate)","Auction","7128 Chandler Bluff Rd, Denham Springs, LA 70706","Denham Springs","70706","2","1","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/7128-Chandler-Bluff-Rd-Denham-Springs-LA-70706/110881459_zpid/"
"4-Auction (separate)","Auction","10520 Cardinal Rd, Denham Springs, LA 70726","Denham Springs","70726","3","2","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/10520-Cardinal-Rd-Denham-Springs-LA-70726/110884872_zpid/"
"4-Auction (separate)","Auction","34801 Lotts Ln, Denham Springs, LA 70706","Denham Springs","70706","4","4","","","","Auction.com/Xome strategy - you buy & own, not assignable.","https://www.zillow.com/homedetails/34801-Lotts-Ln-Denham-Springs-LA-70706/110881465_zpid/"
