Rank,Address,City,ST,Zip,Type,Bd/Ba,SqFt,Listed_Value(ARV),Est_Repairs,MAX_OFFER(MAO),Security_Deposit_5pct,Days_to_Cancel,Days_to_Close,Watchers,Auction_End,URL
36,2408 West Carmen Street,Tampa,FL,33609,Single Family Home,2/2,1636,230000,57260,93500,4675,10,30,116,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/d65bbba1-04ae-4538-819b-8542c9b5cb60
37,3030 Ashwood Road,Cleveland,OH,44120,Single Family Home,3/1,1440,212296,50400,88000,4400,10,30,96,"Wed, Jun 24, 2026 · 9:00 AM",https://federa.com/property/d3eb1776-27a0-4395-bc70-cde6e8394e05
38,999 Northeast 159th Street,North Miami Beach,FL,33162,Single Family Home,2/1,1468,210000,51380,85500,4275,10,30,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000073691038
39,327 Northeast 6th Avenue,Trenton,FL,32693,Single Family Home,4/3,390,150000,15000,80000,4000,10,30,95,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000085469450
40,6237 Ashley Drive,Lakeland,FL,33813,Single Family,4/4,3645,310000,127575,79500,3975,10,30,75,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/66d966f3-c6a4-4100-b5a7-719c856919c0
41,2451 Brickell Avenue Apt 6K,Miami,FL,33129,Condominium,1/1,886,170000,31010,78000,3900,10,30,19,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000070838901
42,12506 Mission Hills Dr S,Jacksonville,FL,32225,Single Family Home,4/3.5,3400,290000,119000,74000,3700,10,30,94,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/3452714000072528710
43,5028 Inshore Landing Drive,Apollo Beach,FL,33572,Single Family Home,4/2,2402,240000,84070,74000,3700,10,30,77,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000084393254
44,1680 W 33rd Pl,Hialeah,FL,33012,"4,009 sqft",0/1,4009,320000,140315,73500,3675,10,30,97,"Wed, Jun 24, 2026 · 9:00 AM",https://federa.com/property/94f3ecc1-a9a6-4447-a444-041cbbb708a8
45,3933 Northwest 81st Terrace,Coral Springs,FL,33065,Single Family Home,3/2,1941,215000,67935,72500,3625,10,30,79,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/fef45c5d-73aa-418c-a369-22ada8d24e20
46,105 Burchwood Avenue,Plant City,FL,33563,Single Family Home,3/2,1851,210000,64785,72000,3600,10,30,80,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/4f9f315f-2957-4d35-a446-20e5910b5768
47,12725 Sunland Ct,Tampa,FL,33625,Townhouse,3/2,1672,200000,58520,71500,3575,10,30,102,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/8688a636-fcd2-4e0b-9366-c27a2b50acdf
48,15745 NW 23rd Avenue Rd,Opa Locka,FL,33054,Single Family Home,3/1,864,155000,30240,68500,3425,10,30,19,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/1bacc43f-461a-40ea-a2e5-ce253b87d856
49,11925 Cedarfield Drive,Riverview,FL,33579,Single Family Home,3/2,1641,190000,57435,65500,3275,10,30,84,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/885fe623-052b-43aa-bd2e-70698f3c3859
50,512 Boxwood Lane,Englewood,FL,34223,Single Family Home,2/2,1660,190000,58100,65000,3250,10,30,86,"Tue, Jun 23, 2026 · 9:00 AM",https://federa.com/property/a9ba7b3e-1a8e-45a6-a3a2-750cf3f0783c
51,3131 Juniper Drive,Edgewater,FL,32141,Single Family Home,3/2,1560,180000,54600,61500,3075,10,30,81,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/5a6f0939-efb4-4d21-9667-920d57ee3d94
52,1009 E North Bay St,Tampa,FL,33603,Single Family Home,3/1,832,140000,29120,59000,2950,10,30,,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/f8857eb2-8999-4cc6-84b0-d2021ea03564
53,3921 West Cherry Street,Tampa,FL,33607,Single Family Home,2/1,864,140000,30240,58000,2900,10,30,113,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000084238550
54,335 San Gabriel Street,Winter Springs,FL,32708,Single Family Home,3/2,1089,150000,38115,57000,2850,10,30,91,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/d0370d84-5505-4187-bb3a-2c7a7943f77c
55,412 Belmont Street,Safety Harbor,FL,34695,Single Family Home,2/2,1095,150000,38325,56500,2825,10,30,88,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/dad7eacb-4d20-418d-886e-b98ffaf33f5d
56,8047 Echo Springs Rd,Jacksonville,FL,32256,Townhouse,3/2,1502,170000,52570,56500,2825,10,30,88,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/547471b7-4c9f-48f3-aafd-81f7b263a2da
57,866 Kings Pine Court,Ruskin,FL,33570,Single Family Home,4/2,1926,190000,67410,55500,2775,10,30,98,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/0c5ddc44-89e9-426b-a1c9-e54293f3eeef
58,147 Tracy Circle,Haines City,FL,33844,Single Family Home,3/2,1753,180000,61355,54500,2725,10,30,78,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/9001ff9c-58af-41da-b8a8-6e37a2121710
59,6608 Northhaven Court,Riverview,FL,33578,Single Family Home,3/2,1182,150000,41370,53500,2675,10,30,107,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/19896f10-8420-43af-8800-8b3c313dce6d
60,1810 Pine Oak Trail,Sanford,FL,32773,Townhouse,2/2,1214,150000,42490,52500,2625,10,30,92,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/c871f50f-f68c-4742-8cd5-98186f06bcb8
61,3608 Tam Drive,Orlando,FL,32808,Single Family Home,4/2,1463,160000,51205,51000,2550,10,30,85,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/54430e58-fcb7-469a-a4be-bf8c14847158
62,15743 Fairway Heights Boulevard,Miami,FL,33157,Single Family Home,3/2,2272,200000,79520,50500,2525,10,30,23,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000062862125
63,5902 Southeast Riverboat Drive,Stuart,FL,34997,Townhouse,2/2,1288,150000,45080,50000,2500,10,30,78,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/12541c0f-959d-42a0-8e9f-bc7472a21713
64,530 Buckshot Ln,Lakeland,FL,33809,Single Family Home,3/2,2103,190000,73605,49500,2475,10,30,72,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/bdd43d19-6c8e-4840-9721-6b6a72967b72
65,12717 Woodchuck Way,Hudson,FL,34667,Single Family Home,2/2,1176,140000,41160,47000,2350,10,30,94,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/f947e72f-22b5-4183-a345-402ffbf383ee
66,343 Suzanne Dr,Kent,OH,44240,Single Family Home,3/2,1988,180000,69580,46500,2325,10,30,108,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/bbdb0ff8-bd6e-42a6-acea-59968fa6bcb5
67,425 Kensington View Drive,Winter Haven,FL,33880,Single Family Home,3/2,1604,160000,56140,46000,2300,10,30,78,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/f774ffcd-f2af-4f46-882e-ab0c87a0ec8b
68,750 Concord Lane,Lakeland,FL,33809,Single Family Home,3/2,1643,160000,57505,44500,2225,10,30,61,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/07570094-b039-48b6-9dc3-151a3c2c6310
69,8747 Wolf Den Trail,Port Richey,FL,34668,Single Family Home,4/2,1851,170000,64785,44000,2200,10,30,107,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000078944987
70,4817 Mark Way,Bartow,FL,33830,Single Family Home,3/2,1320,140000,46200,42000,2100,10,30,72,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/57d0ead4-ed42-4b4b-b3d4-ab5539313f67
71,4601 Anvers Boulevard,Jacksonville,FL,32210,Single Family Home,3/2,1131,130000,39585,41500,2075,10,30,100,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/2af53240-9b86-43b2-bc85-633ccdc80238
72,1341 Florida Avenue,Palm Harbor,FL,34683,Single Family Home,3/2,1532,150000,53620,41500,2075,10,30,103,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000073595421
73,1706 Shore Acres Drive,Lakeland,FL,33801,Single Family Home,4/2,1535,150000,53725,41500,2075,10,30,81,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/0e196452-1819-4021-936d-9ec555f24705
74,3249 Trask Drive,Holiday,FL,34691,Single Family Home,2/2,1156,130000,40460,40500,2025,10,30,94,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/b4f95cd8-3ab0-453c-bc30-91b75fb4656a
75,440 37th Street Northwest,Canton,OH,44709,Single Family Home,3/1,1272,133800,44520,39000,1950,10,30,28,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/b0967d18-9bc0-4fbf-a686-3e55a88417e8
76,1441 Northeast 117th Street,Miami,FL,33161,Single Family Home,3/1,1232,130000,43120,38000,1900,10,30,50,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000082715146
77,1321 Fountainhead Drive,Deltona,FL,32725,Single Family Home,3/1,1050,120000,36750,37000,1850,10,30,92,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/2bf97bb2-f5c6-4be9-8c12-200f4f7ee13d
78,1815 4th Street Northwest,Winter Haven,FL,33881,Single Family Home,3/1,912,110000,31920,35000,1750,10,30,80,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000069623264
79,246 Dinner Lake Place,Lake Wales,FL,33859,Single Family Home,4/2,1726,150000,60410,34500,1725,10,30,79,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/196ce1a7-013f-41f8-8229-b9e57c222c2c
80,1426 Southeast 24th Terrace,Homestead,FL,33035,Townhouse,3/2,1731,150000,60585,34500,1725,10,30,85,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/fe6a5c1c-20dd-4cbd-b064-3de0b01cb444
81,820 Kensington Drive,Orlando,FL,32808,Single Family Home,2/1,843,100000,29505,30500,1525,10,30,106,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000083032640
82,5848 Windridge Dr,Winter Haven,FL,33881,Single Family Home,4/3,3050,210000,106750,30000,1500,10,30,83,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000080464713
83,756 Southwest 99th Court Cir,Miami,FL,33174,Single Family Home,4/3,1747,140000,61145,27000,1350,10,30,25,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/1f2aa75f-1c20-4393-8675-19246bef7b2a
84,5221 West 16th Street,Parma,OH,44134,Single Family Home,3/1,1194,112000,41790,26500,1325,10,30,75,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/5402f5ab-1332-464f-8154-13d9524a77b6
85,5437 Southeast 70th Avenue,Ocala,FL,34472,Single Family Home,3/2,2039,150000,71365,23500,1175,10,30,89,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/cb775d2e-a7a1-431a-a6b9-a8b673ac10dc
86,228 Morhouse Lane,Haines City,FL,33844,Single Family Home,4/3,2444,170000,85540,23500,1175,10,30,75,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/4572945a-401e-4d1a-8b6f-946b880cc423
87,4798 Patriot Drive,Pace,FL,32571,Single Family Home,3/2,1282,110000,44870,22000,1100,10,30,77,"Tue, Jun 23, 2026 · 12:00 PM",https://federa.com/property/5de90a8a-0396-458d-bdce-1e6a7c23c6f9
88,14334 SW 39th Terrace,Ocala,FL,34473,Single Family Home,3/2,1388,110000,48580,18500,925,10,30,83,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/3452714000085025113
89,2252 4th Avenue,Jacksonville,FL,32208,Single Family Home,3/2,1232,100000,43120,17000,850,10,30,99,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/cbcecd14-213a-4b08-b827-b4a41eb95ae7
90,3200 Baseline Road,Plymouth,OH,44865,Single Family Home,3/1,1120,92000,39200,15000,750,10,30,93,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/7bd7c0b7-93e9-4cee-970b-fd13ec5faacb
